,amount.donated.2013,amount.donated.lifetime,no.donations.lifetime,first.donated,Lat_account,Long_account,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,season,package,no.seats,section,multiple.subs,price.level,subscription_tier,Lat_sub,Long_sub,music_taste
0,0.0,0.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
1,0.0,0.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
2,0.0,0.0,0,0.0,37.91,-122.07,0.0,10755.0,16977.0,659243091.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
3,0.0,0.0,0,0.0,37.68,-122.41,0.0,2641.0,4345.0,199733115.0,1.0,1,1.0,7,1,2.2104949858895013,1.0,37.766666666666666,-122.41681818181819,0.0
4,0.0,0.0,0,0.0,37.81,-122.24,0.0,16601.0,24162.0,1004840416.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
5,0.0,2830.0,7,1997.0,40.35,-74.65,0.0,0.0,0.0,0.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
6,0.0,0.0,0,0.0,37.76,-122.44,0.0,21795.0,27878.0,1499767165.0,1.0,3,2.0,4,1,3.0,1.0,37.766666666666666,-122.41681818181819,0.0
7,0.0,0.0,0,0.0,37.72,-122.48,0.0,12435.0,19425.0,555138500.0,2.0,4,1.5,8,1,1.0,0.75,38.20333333333333,-119.40249999999999,21.0
8,100.0,352.0,5,2009.0,37.84,-122.23,0.0,8780.0,13888.0,764370428.0,12.0,1,1.75,11,1,0.9692904131390421,1.7083333333333333,38.20333333333333,-119.40249999999999,42.0
9,0.0,25.0,1,1985.0,38.02,-122.54,0.0,14328.0,23974.0,794700161.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
10,0.0,0.0,0,0.0,37.71,-121.91,0.0,18953.0,34457.0,1435186123.0,2.0,1,2.0,1,1,3.0,2.0,38.20333333333333,-119.40249999999999,0.0
11,0.0,0.0,0,0.0,37.79,-122.42,0.0,30286.0,38763.0,1860031351.0,1.0,3,1.0,8,1,2.0,0.5,37.766666666666666,-122.41681818181819,0.0
12,0.0,0.0,0,0.0,37.83,-122.29,0.0,12865.0,18425.0,575218355.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
13,0.0,50.0,2,2007.0,37.74,-122.48,0.0,23000.0,37668.0,1169972713.0,1.0,3,2.0,11,1,1.0,1.0,37.766666666666666,-122.41681818181819,0.0
14,0.0,0.0,0,0.0,37.44,-122.15,0.0,8765.0,14401.0,1456930509.0,2.0,3,1.5,8,1,2.1052474929447507,1.0,41.23,-81.55,0.0
15,0.0,10425.0,13,1986.0,37.75,-122.43,0.0,20682.0,26380.0,1714366157.0,6.0,1,2.0,8,1,2.0,2.0,37.766666666666666,-122.41681818181819,0.0
16,0.0,0.0,0,0.0,37.45,-122.17,0.0,18924.0,32613.0,0.0,1.0,2,2.0,7,1,1.0,0.0,41.23,-81.55,1.0
17,0.0,1800.0,3,2008.0,37.95,-122.26,0.0,11581.0,20102.0,530254791.0,1.0,2,2.0,7,1,3.0,0.0,38.20333333333333,-119.40249999999999,0.0
18,0.0,0.0,0,0.0,37.79,-122.42,0.0,30286.0,38763.0,1860031351.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
19,0.0,0.0,0,0.0,37.76,-122.39,0.0,14578.0,19741.0,1310454565.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
20,0.0,0.0,0,0.0,37.83,-122.22,0.0,19924.0,32155.0,1698217711.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
21,0.0,450.0,3,2004.0,37.75,-122.43,0.0,20682.0,26380.0,1714366157.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
22,0.0,0.0,0,0.0,38.48,-121.64,0.0,16094.0,25761.0,726098171.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
23,0.0,0.0,0,0.0,38.4,-122.86,0.0,13081.0,21680.0,493650051.0,1.0,8,1.0,7,1,4.0,0.5,38.20333333333333,-119.40249999999999,8.0
24,0.0,0.0,0,0.0,37.8,-122.26,0.0,951.0,1423.0,33427175.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
25,0.0,0.0,0,0.0,33.71,-118.04,0.0,16851.0,27766.0,1088158134.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
26,0.0,0.0,0,0.0,37.78,-122.43,0.0,17978.0,24064.0,1423434681.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
27,0.0,81.0,1,1995.0,38.55,-122.39,0.0,4163.0,7143.0,197224947.0,4.0,1,1.75,8,1,2.0,1.625,38.20333333333333,-119.40249999999999,0.0
28,2000.0,34277.0,33,1995.0,37.78,-122.46,0.0,20709.0,30630.0,1578838639.0,20.0,1,1.85,8,1,1.5815742478834252,1.85,37.766666666666666,-122.41681818181819,42.0
29,0.0,0.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
30,0.0,0.0,0,0.0,37.44,-122.15,0.0,8765.0,14401.0,1456930509.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
31,0.0,0.0,0,0.0,40.02,-105.25,0.0,0.0,0.0,0.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
32,0.0,1400.0,4,1990.0,34.39,-119.51,0.0,670.0,1136.0,24073649.0,1.0,1,4.0,8,1,2.0,4.0,38.15,-81.71,0.0
33,0.0,0.0,0,0.0,37.86,-122.49,0.0,635.0,831.0,22968416.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
34,0.0,0.0,0,0.0,37.81,-122.24,0.0,16601.0,24162.0,1004840416.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
35,0.0,25100.0,7,2001.0,37.96,-122.55,0.0,1209.0,2219.0,211561422.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
36,0.0,100.0,1,2001.0,37.76,-122.48,0.0,30443.0,46850.0,1466564387.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
37,0.0,0.0,0,0.0,38.55,-122.15,0.0,30431.0,54496.0,1421000945.0,1.0,3,2.0,8,1,2.0,1.0,37.766666666666666,-122.41681818181819,0.0
38,0.0,0.0,0,0.0,37.87,-122.26,0.0,5229.0,6899.0,216784666.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
39,0.0,0.0,0,0.0,37.44,-122.15,0.0,8765.0,14401.0,1456930509.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
40,0.0,0.0,0,0.0,37.98,-122.33,0.0,24061.0,43290.0,873904314.0,4.0,1,2.0,2,1,3.75,1.75,38.20333333333333,-119.40249999999999,0.0
41,0.0,0.0,0,0.0,37.59,-122.06,0.0,30973.0,57184.0,1663938368.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
42,0.0,0.0,0,0.0,37.46,-122.24,0.0,16211.0,27970.0,948416853.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
43,0.0,0.0,0,0.0,37.74,-122.48,0.0,23000.0,37668.0,1169972713.0,1.0,2,2.0,7,1,4.0,0.0,37.766666666666666,-122.41681818181819,4.0
44,0.0,0.0,0,0.0,37.89,-122.03,0.0,11189.0,18125.0,773667204.0,1.0,2,1.0,7,1,4.0,0.0,37.766666666666666,-122.41681818181819,1.0
45,0.0,0.0,0,0.0,37.8,-122.21,0.0,13693.0,22480.0,739626317.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
46,0.0,0.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
47,0.0,0.0,0,0.0,37.42,-121.94,0.0,7570.0,12670.0,654176879.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
48,0.0,0.0,0,0.0,37.83,-122.22,0.0,19924.0,32155.0,1698217711.0,1.0,1,2.0,8,1,2.0,2.0,38.20333333333333,-119.40249999999999,0.0
49,0.0,0.0,0,0.0,37.72,-122.44,0.0,38528.0,64941.0,1464419390.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
50,0.0,0.0,0,0.0,37.69,-122.01,0.0,6810.0,13039.0,545829010.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
51,750.0,10100.0,32,1997.0,37.77,-122.49,0.0,22211.0,34786.0,1197296599.0,17.0,1,1.8235294117647058,8,1,1.272440291627559,1.8235294117647058,37.766666666666666,-122.41681818181819,42.0
52,0.0,0.0,0,0.0,37.86,-122.27,0.0,9362.0,13904.0,389310890.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
53,0.0,0.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2,-1.0,7,0,-1.0,-1.0,0.0,0.0,0.0
