number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_data_in_leaf,params_num_leaves,state
0,0.9491262843743014,2023-11-06 13:18:38.041889,2023-11-06 13:18:38.381891,0 days 00:00:00.340002,0.47756549749268695,9,0.32070005872118756,3.905590544782522,4.193490509296555,0.0005,47,91,64,24,72,COMPLETE
1,0.9521109391841879,2023-11-06 13:18:38.382691,2023-11-06 13:18:38.625375,0 days 00:00:00.242684,0.1323992150082955,8,0.5112933606370497,3.2459846008944604,7.462247590132155,0.01,78,58,87,40,26,COMPLETE
2,0.9597853434683357,2023-11-06 13:18:38.626190,2023-11-06 13:18:38.964472,0 days 00:00:00.338282,0.7094354863706326,12,0.8325329992156286,3.4266498618444654,1.338056982293115,1e-05,12,40,11,5,39,COMPLETE
3,0.9572434890635172,2023-11-06 13:18:38.965253,2023-11-06 13:18:40.567827,0 days 00:00:01.602574,0.5380700802078908,2,0.31938087864988063,5.072673283341029,3.5706780641762714,0.05,95,71,46,77,45,COMPLETE
4,0.9579780820428573,2023-11-06 13:18:40.568558,2023-11-06 13:18:40.864576,0 days 00:00:00.296018,0.3726690039551901,9,0.5405778780784515,4.883835199382823,4.909119799025646,0.001,20,17,86,11,50,COMPLETE
5,0.9522631924418071,2023-11-06 13:18:40.865376,2023-11-06 13:18:41.043130,0 days 00:00:00.177754,0.1688480679785516,4,0.2744372615114551,8.049101329969982,5.171346079517467,0.1,6,66,38,27,60,COMPLETE
6,0.9384225031175764,2023-11-06 13:18:41.043942,2023-11-06 13:18:41.217209,0 days 00:00:00.173267,0.15376558881710428,10,0.47444873211361793,0.8409574782630637,8.498656640268615,5e-05,47,53,24,19,2,COMPLETE
7,0.9614775351057627,2023-11-06 13:18:41.217984,2023-11-06 13:18:41.538725,0 days 00:00:00.320741,0.8540166257843507,13,0.8274164672317569,0.6883108400709592,8.063400097296523,5e-05,60,16,10,60,55,COMPLETE
8,0.9591424477890029,2023-11-06 13:18:41.539943,2023-11-06 13:18:41.681750,0 days 00:00:00.141807,0.748642669262379,14,0.9716663708570425,8.04911333186289,0.20723881097448174,1.0,47,85,22,73,26,COMPLETE
9,0.9706267166192621,2023-11-06 13:18:41.682477,2023-11-06 13:18:42.025582,0 days 00:00:00.343105,0.442647555731686,0,0.6385454393715174,4.5641644675289035,5.650777668989632,0.05,86,89,48,40,68,COMPLETE
10,0.9451552298817265,2023-11-06 13:18:42.026186,2023-11-06 13:18:42.241708,0 days 00:00:00.215522,0.2843498757763943,5,0.441234397673969,0.012211391991763243,9.935772918661819,5e-05,33,35,67,90,2,COMPLETE
11,0.9485063831923399,2023-11-06 13:18:42.242321,2023-11-06 13:18:42.496648,0 days 00:00:00.254327,0.30253279835222996,5,0.15718718290281958,0.015108528322316572,9.986412271199802,5e-05,31,39,68,100,4,COMPLETE
12,0.9460566760116788,2023-11-06 13:18:42.497291,2023-11-06 13:18:42.757904,0 days 00:00:00.260613,0.22945173619406445,5,0.44641613931315544,1.3995040264210183,9.581425164776817,5e-05,36,35,26,98,100,COMPLETE
13,0.9430910143072483,2023-11-06 13:18:42.758573,2023-11-06 13:18:42.971148,0 days 00:00:00.212575,0.10850322194976522,11,0.6301948648321335,1.8375074650293404,8.388028322240245,0.5,65,2,68,59,3,COMPLETE
14,0.9321746071329271,2023-11-06 13:18:42.971731,2023-11-06 13:18:43.284223,0 days 00:00:00.312492,0.18698748364656187,11,0.6425045083332773,2.0532629743359414,7.578529883993766,0.5,66,6,34,51,21,COMPLETE
15,0.9371424312667056,2023-11-06 13:18:43.284973,2023-11-06 13:18:43.614051,0 days 00:00:00.329078,0.2526934106722641,15,0.6580544357020237,2.0774260756812035,6.560052819003859,0.5,69,51,31,20,20,COMPLETE
16,0.9503913794810464,2023-11-06 13:18:43.614625,2023-11-06 13:18:43.887408,0 days 00:00:00.272783,0.3465352337442067,15,0.6662350786328338,2.3366446030401082,6.6607774256367245,0.5,69,3,35,39,18,COMPLETE
17,0.9453996449314893,2023-11-06 13:18:43.888058,2023-11-06 13:18:44.202392,0 days 00:00:00.314334,0.23707120778549262,15,0.7550181330335762,2.0935498987314056,6.655604093819459,0.5,77,23,100,49,20,COMPLETE
18,0.9470957140876288,2023-11-06 13:18:44.203130,2023-11-06 13:18:44.535877,0 days 00:00:00.332747,0.34610259106926194,12,0.7152686342690334,2.6447901819103743,6.351811324196302,0.5,96,75,3,71,35,COMPLETE
19,0.9459912805691619,2023-11-06 13:18:44.536536,2023-11-06 13:18:44.928156,0 days 00:00:00.391620,0.23013386140888664,13,0.6073174833389547,1.6309257653450706,7.380576731773971,0.5,57,100,56,30,16,COMPLETE
